,10分,20分,30分,40分,50分,60分,70分,80分
102人（10番）,1268,1254,1321,1114,1079,964,843,974
102人（11番）,1113,911,754,823,640,748,700,900
32人（12番),1027,894,718,758,675,805,654,998
32人（13番）,518,266,340,424,337,335,,
34人（14番）,365,268,288,317,295,289,370,
34人（15番）,380,278,301,308,308,277,386,
32人（19番）,443,418,478,371,412,396,489,571
170人（20番）,2318,1831,1529,1458,1304,1470,2106,
